route_id,service_id,trip_id,trip_short_name,direction_id,shape_id,trip_headsign
42948,306543645363,114238,3034,1,,New London
42948,306543645363,114241,3604,1,,New London
42948,306543645363,114244,3610,1,,New London
42948,306543645363,114247,3613,0,,New Haven
42948,306543645363,114250,3618,1,,New London
42948,306543645363,114253,3621,0,,New Haven
42948,306543645363,114256,3629,0,,New Haven
42948,306543645363,114259,3637,0,,New Haven
42948,306543645363,114262,3645,0,,New Haven
42948,306543645363,114265,3652,1,,New London
42948,306543645363,114268,3690,1,,New London
42948,306543645363,114271,3692,1,,New London
42948,306543645363,114274,3699,0,,New Haven
42948,306543645363,114277,3655,0,,New Haven
42948,306543645363,114280,3663,0,,New Haven
42948,306543645363,114283,3644,1,,New London
42948,306243645363,114292,1600,1,,New London
42948,306243645363,114299,1602,1,,New London
42948,306243645363,114306,1604,1,,New London
42948,306243645363,114313,1606,1,,New London
42948,306243645363,114320,1610,1,,New London
42948,306243645363,114327,1632,1,,New London
42948,306243645363,114334,1634,1,,New London
42948,306243645363,114341,1637,0,,New Haven
42948,306243645363,114348,1638,1,,New London
42948,306243645363,114355,1645,0,,New Haven
42948,306243645363,114362,1652,1,,New London
42948,306243645363,114369,1659,0,,New Haven
42948,306243645363,114376,1667,0,,New Haven
42948,306243645363,114383,1687,0,,New Haven
42948,306243645363,114390,1699,0,,New Haven
42948,306243645363,114404,1681,0,,New Haven
42948,306243645363,114411,1691,0,,New Haven
42948,306243645363,114418,1640,1,,New London
42948,306243645363,114425,1695,0,,New Haven
42948,306243645363,118069,1633,0,,New Haven
