route_id,service_id,trip_id,trip_short_name,direction_id,shape_id,trip_headsign
42948,306543575356,114238,3034,1,,New London
42948,306543575356,114241,3604,1,,New London
42948,306543575356,114244,3610,1,,New London
42948,306543575356,114247,3613,0,,New Haven
42948,306543575356,114250,3618,1,,New London
42948,306543575356,114253,3621,0,,New Haven
42948,306543575356,114256,3629,0,,New Haven
42948,306543575356,114259,3637,0,,New Haven
42948,306543575356,114262,3645,0,,New Haven
42948,306543575356,114265,3652,1,,New London
42948,306543575356,114268,3690,1,,New London
42948,306543575356,114271,3692,1,,New London
42948,306543575356,114274,3699,0,,New Haven
42948,306543575356,114277,3655,0,,New Haven
42948,306543575356,114280,3663,0,,New Haven
42948,306543575356,114283,3644,1,,New London
42948,102443595001,114240,3034,1,,New London
42948,102443595001,114243,3604,1,,New London
42948,102443595001,114246,3610,1,,New London
42948,102443595001,114249,3613,0,,New Haven
42948,102443595001,114252,3618,1,,New London
42948,102443595001,114255,3621,0,,New Haven
42948,102443595001,114258,3629,0,,New Haven
42948,102443595001,114261,3637,0,,New Haven
42948,102443595001,114264,3645,0,,New Haven
42948,102443595001,114267,3652,1,,New London
42948,102443595001,114270,3690,1,,New London
42948,102443595001,114273,3692,1,,New London
42948,102443595001,114276,3699,0,,New Haven
42948,102443595001,114279,3655,0,,New Haven
42948,102443595001,114282,3663,0,,New Haven
42948,102443595001,114285,3644,1,,New London
42948,106250025356,114292,1600,1,,New London
42948,106250025356,114299,1602,1,,New London
42948,106250025356,114306,1604,1,,New London
42948,106250025356,114313,1606,1,,New London
42948,106250025356,114320,1610,1,,New London
42948,106250025356,114327,1632,1,,New London
42948,106250025356,114334,1634,1,,New London
42948,106250025356,114341,1637,0,,New Haven
42948,106250025356,114348,1638,1,,New London
42948,106250025356,114355,1645,0,,New Haven
42948,106250025356,114362,1652,1,,New London
42948,106250025356,114369,1659,0,,New Haven
42948,106250025356,114376,1667,0,,New Haven
42948,106250025356,114383,1687,0,,New Haven
42948,106250025356,114390,1699,0,,New Haven
42948,106250025356,114404,1681,0,,New Haven
42948,106250025356,114411,1691,0,,New Haven
42948,106250025356,114418,1640,1,,New London
42948,106250025356,114425,1695,0,,New Haven
42948,206243574359,114289,1600,1,,New London
42948,105443614366,114291,1600,1,,New London
42948,103843614365,114298,1602,1,,New London
42948,103843614365,114305,1604,1,,New London
42948,103843614365,114312,1606,1,,New London
42948,103843614365,114319,1610,1,,New London
42948,103843614365,114326,1632,1,,New London
42948,103843614365,114333,1634,1,,New London
42948,103843614365,114340,1637,0,,New Haven
42948,103843614365,114347,1638,1,,New London
42948,103843614365,114354,1645,0,,New Haven
42948,103843614365,114361,1652,1,,New London
42948,103843614365,114368,1659,0,,New Haven
42948,103843614365,114375,1667,0,,New Haven
42948,103843614365,114382,1687,0,,New Haven
42948,103843614365,114389,1699,0,,New Haven
42948,103843614365,114403,1681,0,,New Haven
42948,103843614365,114410,1691,0,,New Haven
42948,206243574359,114415,1640,1,,New London
42948,105443614366,114417,1640,1,,New London
42948,206243574359,114422,1695,0,,New Haven
42948,105443614366,114424,1695,0,,New Haven
42948,106250025356,118069,1633,0,,New Haven
42948,206243574359,118066,1633,0,,New Haven
42948,105443614366,118068,1633,0,,New Haven
