route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,trip_short_name,wheelchair_accessible,bikes_allowed
1,TRAIN-A24-TRKPI-Dimanche-01,4083489-TRAIN-A24-TRKPI-Dimanche-01,Vaudreuil,1,10385,61,0,1
1,TRAIN-H25-TRKPI-Dimanche-01,4083489-TRAIN-H25-TRKPI-Dimanche-01,Vaudreuil,1,10423,61,0,1
1,TRAIN-A24-TRKPI-Dimanche-02,4083489-TRAIN-A24-TRKPI-Dimanche-02,Vaudreuil,1,10423,61,0,1
1,TRAIN-H25-TRKPI-Fête-1-01,4083489-TRAIN-H25-TRKPI-Fête-1-01,Vaudreuil,1,10423,61,0,1
1,TRAIN-A24-TRKPI-Fête-1-03,4083489-TRAIN-A24-TRKPI-Fête-1-03,Vaudreuil,1,10423,61,0,1
1,TRAIN-A24-TRKPI-Dimanche-01,4083490-TRAIN-A24-TRKPI-Dimanche-01,Vaudreuil,1,10385,63,0,1
1,TRAIN-H25-TRKPI-Dimanche-01,4083490-TRAIN-H25-TRKPI-Dimanche-01,Vaudreuil,1,10423,63,0,1
1,TRAIN-A24-TRKPI-Dimanche-02,4083490-TRAIN-A24-TRKPI-Dimanche-02,Vaudreuil,1,10423,63,0,1
1,TRAIN-H25-TRKPI-Fête-1-01,4083490-TRAIN-H25-TRKPI-Fête-1-01,Vaudreuil,1,10423,63,0,1
1,TRAIN-A24-TRKPI-Fête-1-03,4083490-TRAIN-A24-TRKPI-Fête-1-03,Vaudreuil,1,10423,63,0,1
1,TRAIN-A24-TRKPI-Dimanche-01,4083491-TRAIN-A24-TRKPI-Dimanche-01,Vaudreuil,1,10385,65,0,1
1,TRAIN-H25-TRKPI-Dimanche-01,4083491-TRAIN-H25-TRKPI-Dimanche-01,Vaudreuil,1,10423,65,0,1
1,TRAIN-A24-TRKPI-Dimanche-02,4083491-TRAIN-A24-TRKPI-Dimanche-02,Vaudreuil,1,10423,65,0,1
1,TRAIN-H25-TRKPI-Fête-1-01,4083491-TRAIN-H25-TRKPI-Fête-1-01,Vaudreuil,1,10423,65,0,1
1,TRAIN-A24-TRKPI-Fête-1-03,4083491-TRAIN-A24-TRKPI-Fête-1-03,Vaudreuil,1,10423,65,0,1
1,TRAIN-A24-TRKPI-Dimanche-01,4083492-TRAIN-A24-TRKPI-Dimanche-01,Vendôme,0,10388,60,0,1
1,TRAIN-H25-TRKPI-Dimanche-01,4083492-TRAIN-H25-TRKPI-Dimanche-01,Lucien-L'Allier,0,10215,60,0,1
1,TRAIN-A24-TRKPI-Dimanche-02,4083492-TRAIN-A24-TRKPI-Dimanche-02,Lucien-L'Allier,0,10215,60,0,1
1,TRAIN-H25-TRKPI-Fête-1-01,4083492-TRAIN-H25-TRKPI-Fête-1-01,Lucien-L'Allier,0,10215,60,0,1
1,TRAIN-A24-TRKPI-Fête-1-03,4083492-TRAIN-A24-TRKPI-Fête-1-03,Lucien-L'Allier,0,10215,60,0,1
1,TRAIN-A24-TRKPI-Dimanche-01,4083493-TRAIN-A24-TRKPI-Dimanche-01,Vendôme,0,10388,62,0,1
1,TRAIN-H25-TRKPI-Dimanche-01,4083493-TRAIN-H25-TRKPI-Dimanche-01,Lucien-L'Allier,0,10215,62,0,1
1,TRAIN-A24-TRKPI-Dimanche-02,4083493-TRAIN-A24-TRKPI-Dimanche-02,Lucien-L'Allier,0,10215,62,0,1
1,TRAIN-H25-TRKPI-Fête-1-01,4083493-TRAIN-H25-TRKPI-Fête-1-01,Lucien-L'Allier,0,10215,62,0,1
1,TRAIN-A24-TRKPI-Fête-1-03,4083493-TRAIN-A24-TRKPI-Fête-1-03,Lucien-L'Allier,0,10215,62,0,1
1,TRAIN-A24-TRKPI-Dimanche-01,4083494-TRAIN-A24-TRKPI-Dimanche-01,Vendôme,0,10388,64,0,1
1,TRAIN-H25-TRKPI-Dimanche-01,4083494-TRAIN-H25-TRKPI-Dimanche-01,Lucien-L'Allier,0,10215,64,0,1
1,TRAIN-A24-TRKPI-Dimanche-02,4083494-TRAIN-A24-TRKPI-Dimanche-02,Lucien-L'Allier,0,10215,64,0,1
1,TRAIN-H25-TRKPI-Fête-1-01,4083494-TRAIN-H25-TRKPI-Fête-1-01,Lucien-L'Allier,0,10215,64,0,1
1,TRAIN-A24-TRKPI-Fête-1-03,4083494-TRAIN-A24-TRKPI-Fête-1-03,Lucien-L'Allier,0,10215,64,0,1
1,TRAIN-A24-TRKPI-Samedi-01,4083534-TRAIN-A24-TRKPI-Samedi-01,Vaudreuil,1,10385,51,0,1
1,TRAIN-H25-TRKPI-Samedi-01,4083534-TRAIN-H25-TRKPI-Samedi-01,Vaudreuil,1,10423,51,0,1
1,TRAIN-A24-TRKPI-Samedi-02,4083534-TRAIN-A24-TRKPI-Samedi-02,Vaudreuil,1,10423,51,0,1
1,TRAIN-A24-TRKPI-Samedi-01,4083535-TRAIN-A24-TRKPI-Samedi-01,Vaudreuil,1,10385,53,0,1
1,TRAIN-H25-TRKPI-Samedi-01,4083535-TRAIN-H25-TRKPI-Samedi-01,Vaudreuil,1,10423,53,0,1
1,TRAIN-A24-TRKPI-Samedi-02,4083535-TRAIN-A24-TRKPI-Samedi-02,Vaudreuil,1,10423,53,0,1
1,TRAIN-A24-TRKPI-Samedi-01,4083536-TRAIN-A24-TRKPI-Samedi-01,Vaudreuil,1,10385,55,0,1
1,TRAIN-H25-TRKPI-Samedi-01,4083536-TRAIN-H25-TRKPI-Samedi-01,Vaudreuil,1,10423,55,0,1
1,TRAIN-A24-TRKPI-Samedi-02,4083536-TRAIN-A24-TRKPI-Samedi-02,Vaudreuil,1,10423,55,0,1
1,TRAIN-A24-TRKPI-Samedi-01,4083537-TRAIN-A24-TRKPI-Samedi-01,Vaudreuil,1,10385,57,0,1
1,TRAIN-H25-TRKPI-Samedi-01,4083537-TRAIN-H25-TRKPI-Samedi-01,Vaudreuil,1,10423,57,0,1
1,TRAIN-A24-TRKPI-Samedi-02,4083537-TRAIN-A24-TRKPI-Samedi-02,Vaudreuil,1,10423,57,0,1
1,TRAIN-A24-TRKPI-Samedi-01,4083538-TRAIN-A24-TRKPI-Samedi-01,Vendôme,0,10388,50,0,1
1,TRAIN-H25-TRKPI-Samedi-01,4083538-TRAIN-H25-TRKPI-Samedi-01,Lucien-L'Allier,0,10425,50,0,1
1,TRAIN-A24-TRKPI-Samedi-02,4083538-TRAIN-A24-TRKPI-Samedi-02,Lucien-L'Allier,0,10425,50,0,1
1,TRAIN-A24-TRKPI-Samedi-01,4083539-TRAIN-A24-TRKPI-Samedi-01,Vendôme,0,10388,52,0,1
1,TRAIN-H25-TRKPI-Samedi-01,4083539-TRAIN-H25-TRKPI-Samedi-01,Lucien-L'Allier,0,10425,52,0,1
1,TRAIN-A24-TRKPI-Samedi-02,4083539-TRAIN-A24-TRKPI-Samedi-02,Lucien-L'Allier,0,10425,52,0,1
1,TRAIN-A24-TRKPI-Samedi-01,4083540-TRAIN-A24-TRKPI-Samedi-01,Vendôme,0,10388,54,0,1
1,TRAIN-H25-TRKPI-Samedi-01,4083540-TRAIN-H25-TRKPI-Samedi-01,Lucien-L'Allier,0,10425,54,0,1
1,TRAIN-A24-TRKPI-Samedi-02,4083540-TRAIN-A24-TRKPI-Samedi-02,Lucien-L'Allier,0,10425,54,0,1
1,TRAIN-A24-TRKPI-Samedi-01,4083541-TRAIN-A24-TRKPI-Samedi-01,Vendôme,0,10388,56,0,1
1,TRAIN-H25-TRKPI-Samedi-01,4083541-TRAIN-H25-TRKPI-Samedi-01,Lucien-L'Allier,0,10425,56,0,1
1,TRAIN-A24-TRKPI-Samedi-02,4083541-TRAIN-A24-TRKPI-Samedi-02,Lucien-L'Allier,0,10425,56,0,1
1,TRAIN-H25-TRKPI-Semaine-02,4083542-TRAIN-H25-TRKPI-Semaine-02,Lucien-L'Allier,0,10220,40,0,1
1,TRAIN-A24-TRKPI-Semaine-03,4083542-TRAIN-A24-TRKPI-Semaine-03,Lucien-L'Allier,0,10220,40,0,1
1,TRAIN-A24-TRKPI-Semaine-07,4083542-TRAIN-A24-TRKPI-Semaine-07,Vendôme,0,10387,40,0,1
1,TRAIN-H25-TRKPI-Semaine-02,4083543-TRAIN-H25-TRKPI-Semaine-02,Lucien-L'Allier,0,10217,112,0,1
1,TRAIN-A24-TRKPI-Semaine-03,4083543-TRAIN-A24-TRKPI-Semaine-03,Lucien-L'Allier,0,10217,112,0,1
1,TRAIN-A24-TRKPI-Semaine-07,4083543-TRAIN-A24-TRKPI-Semaine-07,Vendôme,0,10389,112,0,1
1,TRAIN-H25-TRKPI-Semaine-02,4083544-TRAIN-H25-TRKPI-Semaine-02,Vaudreuil,1,10421,11,0,1
1,TRAIN-A24-TRKPI-Semaine-03,4083544-TRAIN-A24-TRKPI-Semaine-03,Vaudreuil,1,10421,11,0,1
1,TRAIN-A24-TRKPI-Semaine-07,4083544-TRAIN-A24-TRKPI-Semaine-07,Vaudreuil,1,10386,11,0,1
1,TRAIN-H25-TRKPI-Semaine-02,4083545-TRAIN-H25-TRKPI-Semaine-02,Beaconsfield,1,10424,41,0,1
1,TRAIN-A24-TRKPI-Semaine-03,4083545-TRAIN-A24-TRKPI-Semaine-03,Beaconsfield,1,10424,41,0,1
1,TRAIN-A24-TRKPI-Semaine-07,4083545-TRAIN-A24-TRKPI-Semaine-07,Beaconsfield,1,10393,41,0,1
1,TRAIN-H25-TRKPI-Semaine-02,4083546-TRAIN-H25-TRKPI-Semaine-02,Vaudreuil,1,10423,13,0,1
1,TRAIN-A24-TRKPI-Semaine-03,4083546-TRAIN-A24-TRKPI-Semaine-03,Vaudreuil,1,10423,13,0,1
1,TRAIN-A24-TRKPI-Semaine-07,4083546-TRAIN-A24-TRKPI-Semaine-07,Vaudreuil,1,10385,13,0,1
1,TRAIN-H25-TRKPI-Semaine-02,4083547-TRAIN-H25-TRKPI-Semaine-02,Vaudreuil,1,10423,15,0,1
1,TRAIN-A24-TRKPI-Semaine-03,4083547-TRAIN-A24-TRKPI-Semaine-03,Vaudreuil,1,10423,15,0,1
1,TRAIN-A24-TRKPI-Semaine-07,4083547-TRAIN-A24-TRKPI-Semaine-07,Vaudreuil,1,10385,15,0,1
1,TRAIN-H25-TRKPI-Semaine-02,4083548-TRAIN-H25-TRKPI-Semaine-02,Vaudreuil,1,10423,17,0,1
1,TRAIN-A24-TRKPI-Semaine-03,4083548-TRAIN-A24-TRKPI-Semaine-03,Vaudreuil,1,10423,17,0,1
1,TRAIN-A24-TRKPI-Semaine-07,4083548-TRAIN-A24-TRKPI-Semaine-07,Vaudreuil,1,10385,17,0,1
1,TRAIN-H25-TRKPI-Semaine-02,4083549-TRAIN-H25-TRKPI-Semaine-02,Vaudreuil,1,10423,19,0,1
1,TRAIN-A24-TRKPI-Semaine-03,4083549-TRAIN-A24-TRKPI-Semaine-03,Vaudreuil,1,10423,19,0,1
1,TRAIN-A24-TRKPI-Semaine-07,4083549-TRAIN-A24-TRKPI-Semaine-07,Vaudreuil,1,10385,19,0,1
1,TRAIN-H25-TRKPI-Semaine-02,4083550-TRAIN-H25-TRKPI-Semaine-02,Vaudreuil,1,10423,121,0,1
1,TRAIN-A24-TRKPI-Semaine-03,4083550-TRAIN-A24-TRKPI-Semaine-03,Vaudreuil,1,10423,121,0,1
